Deny,test,COMMENT,POSTCOMMENT,SALEOPENEDMINOR,
Permit,test,COMMENT,POSTCOMMENT,WORKINGDAYS,
Deny,test,COMMENT,POSTCOMMENT,MAINTENANCEDAY,
Permit,test,COMMENT,POSTCOMMENT,HOLIDAYS,
Deny,test,COMMENT,POSTCOMMENT,DEFAULT,
Permit,test,COMMENT,BORROWBOOK,SALEOPENEDMINOR,
Deny,test,COMMENT,BORROWBOOK,WORKINGDAYS,
Permit,test,COMMENT,BORROWBOOK,MAINTENANCEDAY,
Deny,test,COMMENT,BORROWBOOK,HOLIDAYS,
Permit,test,COMMENT,BORROWBOOK,DEFAULT,
Deny,test,COMMENT,FIXBOOK,SALEOPENEDMINOR,
Permit,test,COMMENT,FIXBOOK,WORKINGDAYS,
Deny,test,COMMENT,FIXBOOK,MAINTENANCEDAY,
Permit,test,COMMENT,FIXBOOK,HOLIDAYS,
Deny,test,COMMENT,FIXBOOK,DEFAULT,
Permit,test,COMMENT,BORROWERACTIVITY,SALEOPENEDMINOR,
Deny,test,COMMENT,BORROWERACTIVITY,WORKINGDAYS,
Permit,test,COMMENT,BORROWERACTIVITY,MAINTENANCEDAY,
Deny,test,COMMENT,BORROWERACTIVITY,HOLIDAYS,
Permit,test,COMMENT,BORROWERACTIVITY,DEFAULT,
Deny,test,COMMENT,MODIFYACCOUNT,SALEOPENEDMINOR,
Permit,test,COMMENT,MODIFYACCOUNT,WORKINGDAYS,
Deny,test,COMMENT,MODIFYACCOUNT,MAINTENANCEDAY,
Permit,test,COMMENT,MODIFYACCOUNT,HOLIDAYS,
Deny,test,COMMENT,MODIFYACCOUNT,DEFAULT,
Permit,test,COMMENT,GIVEBACKBOOK,SALEOPENEDMINOR,
Deny,test,COMMENT,GIVEBACKBOOK,WORKINGDAYS,
Permit,test,COMMENT,GIVEBACKBOOK,MAINTENANCEDAY,
Deny,test,COMMENT,GIVEBACKBOOK,HOLIDAYS,
Permit,test,COMMENT,GIVEBACKBOOK,DEFAULT,
Deny,test,COMMENT,MANAGEACCESS,SALEOPENEDMINOR,
Permit,test,COMMENT,MANAGEACCESS,WORKINGDAYS,
Deny,test,COMMENT,MANAGEACCESS,MAINTENANCEDAY,
Permit,test,COMMENT,MANAGEACCESS,HOLIDAYS,
Deny,test,COMMENT,MANAGEACCESS,DEFAULT,
Permit,test,COMMENT,CONSULTBORROWERACCOUNT,SALEOPENEDMINOR,
Deny,test,COMMENT,CONSULTBORROWERACCOUNT,WORKINGDAYS,
Permit,test,COMMENT,CONSULTBORROWERACCOUNT,MAINTENANCEDAY,
Deny,test,COMMENT,CONSULTBORROWERACCOUNT,HOLIDAYS,
Permit,test,COMMENT,CONSULTBORROWERACCOUNT,DEFAULT,
Deny,test,COMMENT,RESERVEBOOK,SALEOPENEDMINOR,
Permit,test,COMMENT,RESERVEBOOK,WORKINGDAYS,
Deny,test,COMMENT,RESERVEBOOK,MAINTENANCEDAY,
Permit,test,COMMENT,RESERVEBOOK,HOLIDAYS,
Deny,test,COMMENT,RESERVEBOOK,DEFAULT,
Permit,test,COMMENT,CREATEACCOUNT,SALEOPENEDMINOR,
Deny,test,COMMENT,CREATEACCOUNT,WORKINGDAYS,
Permit,test,COMMENT,CREATEACCOUNT,MAINTENANCEDAY,
Deny,test,COMMENT,CREATEACCOUNT,HOLIDAYS,
Permit,test,COMMENT,CREATEACCOUNT,DEFAULT,
Deny,test,COMMENT,DELIVERBOOK,SALEOPENEDMINOR,
Permit,test,COMMENT,DELIVERBOOK,WORKINGDAYS,
Deny,test,COMMENT,DELIVERBOOK,MAINTENANCEDAY,
Permit,test,COMMENT,DELIVERBOOK,HOLIDAYS,
Deny,test,COMMENT,DELIVERBOOK,DEFAULT,
Permit,test,PERSONNELACCOUNT,POSTCOMMENT,SALEOPENEDMINOR,
Deny,test,PERSONNELACCOUNT,POSTCOMMENT,WORKINGDAYS,
Permit,test,PERSONNELACCOUNT,POSTCOMMENT,MAINTENANCEDAY,
Deny,test,PERSONNELACCOUNT,POSTCOMMENT,HOLIDAYS,
Permit,test,PERSONNELACCOUNT,POSTCOMMENT,DEFAULT,
Deny,test,PERSONNELACCOUNT,BORROWBOOK,SALEOPENEDMINOR,
Permit,test,PERSONNELACCOUNT,BORROWBOOK,WORKINGDAYS,
Deny,test,PERSONNELACCOUNT,BORROWBOOK,MAINTENANCEDAY,
Permit,test,PERSONNELACCOUNT,BORROWBOOK,HOLIDAYS,
Deny,test,PERSONNELACCOUNT,BORROWBOOK,DEFAULT,
Permit,test,PERSONNELACCOUNT,FIXBOOK,SALEOPENEDMINOR,
Deny,test,PERSONNELACCOUNT,FIXBOOK,WORKINGDAYS,
Permit,test,PERSONNELACCOUNT,FIXBOOK,MAINTENANCEDAY,
Deny,test,PERSONNELACCOUNT,FIXBOOK,HOLIDAYS,
Permit,test,PERSONNELACCOUNT,FIXBOOK,DEFAULT,
Deny,test,PERSONNELACCOUNT,BORROWERACTIVITY,SALEOPENEDMINOR,
Permit,test,PERSONNELACCOUNT,BORROWERACTIVITY,WORKINGDAYS,
Deny,test,PERSONNELACCOUNT,BORROWERACTIVITY,MAINTENANCEDAY,
Permit,test,PERSONNELACCOUNT,BORROWERACTIVITY,HOLIDAYS,
Deny,test,PERSONNELACCOUNT,BORROWERACTIVITY,DEFAULT,
Permit,test,PERSONNELACCOUNT,MODIFYACCOUNT,SALEOPENEDMINOR,
Deny,test,PERSONNELACCOUNT,MODIFYACCOUNT,WORKINGDAYS,
Permit,test,PERSONNELACCOUNT,MODIFYACCOUNT,MAINTENANCEDAY,
Deny,test,PERSONNELACCOUNT,MODIFYACCOUNT,HOLIDAYS,
Permit,test,PERSONNELACCOUNT,MODIFYACCOUNT,DEFAULT,
Deny,test,PERSONNELACCOUNT,GIVEBACKBOOK,SALEOPENEDMINOR,
Permit,test,PERSONNELACCOUNT,GIVEBACKBOOK,WORKINGDAYS,
Deny,test,PERSONNELACCOUNT,GIVEBACKBOOK,MAINTENANCEDAY,
Permit,test,PERSONNELACCOUNT,GIVEBACKBOOK,HOLIDAYS,
Deny,test,PERSONNELACCOUNT,GIVEBACKBOOK,DEFAULT,
Permit,test,PERSONNELACCOUNT,MANAGEACCESS,SALEOPENEDMINOR,
Deny,test,PERSONNELACCOUNT,MANAGEACCESS,WORKINGDAYS,
Permit,test,PERSONNELACCOUNT,MANAGEACCESS,MAINTENANCEDAY,
Deny,test,PERSONNELACCOUNT,MANAGEACCESS,HOLIDAYS,
